Order ID,Date,Customer ID,Product Category,Product Name,Quantity Sold,Unit Price,Payment Method,Shipping Region,Order Status,Total Sales
ORD100118,2024-07-13 12:06:11.610782,CUST8832,Sports & Outdoors,Product 21,10,386.72,PAYPAL,Asia,Cancelled,3867.2
ORD100119,2024-05-17 12:06:11.610782,CUST5879,Sports & Outdoors,Product 41,6,270.37,Bank Transfer,Europe,Cancelled,1622.22
ORD100120,2024-03-29 12:06:11.610782,CUST9895,home-kitchen,Product 44,7,443.69,,South America,Completed,3105.83
ORD100121,2025-02-03 12:06:11.610782,CUST9278,Beauty & Health,Product 50,6,230.66,PAYPAL,Europe,Cancelled,1383.96
ORD100122,2024-05-04 12:06:11.610782,CUST1526,Sports & Outdoors,,9,127.23,PAYPAL,Europe,Cancelled,1145.07
ORD100123,2024-04-26 12:06:11.610782,CUST7927,CLOTHING,Product 4,1,176.37,creditcard,,Cancelled,176.37
ORD100124,2024-03-24 12:06:11.610782,CUST1003,Beauty & Health,Product 26,10,460.94,Bank Transfer,,Cancelled,4609.4
ORD100125,2025-01-10 12:06:11.610782,CUST5452,electronics,Product 4,4,312.14,Gift Card,Europe,Completed,1248.56
ORD100126,2024-11-10 12:06:11.610782,CUST2776,Sports & Outdoors,Product 28,1,396.29,PAYPAL,,Cancelled,396.29
ORD100127,2025-01-31 12:06:11.610782,CUST7987,home-kitchen,Product 2,1,35.89,Gift Card,Asia,Pending,35.89
ORD100128,2024-11-26 12:06:11.610782,CUST8485,,Product 47,10,459.89,Bank Transfer,Europe,Cancelled,4598.9
ORD100129,2025-01-03 12:06:11.610782,CUST3035,Beauty & Health,Product 43,2,366.5,Gift Card,South America,Pending,733.0
ORD100130,2024-05-23 12:06:11.610782,,home-kitchen,Product 20,4,303.87,Bank Transfer,Asia,Cancelled,1215.48
ORD100131,2024-11-09 12:06:11.610782,CUST9964,CLOTHING,Product 19,8,427.34,Gift Card,,,3418.72
ORD100132,2025-02-20 12:06:11.610782,CUST3759,home-kitchen,Product 33,1,53.52,Gift Card,South America,Completed,53.52
ORD100133,2024-07-01 12:06:11.610782,CUST2859,CLOTHING,Product 3,2,283.07,,South America,,566.14
ORD100134,2024-06-02 12:06:11.610782,CUST9979,home-kitchen,Product 7,10,44.02,PAYPAL,South America,Completed,440.2
ORD100135,2024-08-26 12:06:11.610782,CUST8047,CLOTHING,Product 28,3,425.79,PAYPAL,Asia,,1277.37
ORD100136,2024-12-09 12:06:11.610782,CUST8087,home-kitchen,,9,349.01,Bank Transfer,South America,Pending,3141.09
ORD100137,2024-03-10 12:06:11.610782,CUST1815,CLOTHING,Product 21,4,260.1,Bank Transfer,North America,Pending,1040.4
ORD100138,2024-07-01 12:06:11.610782,CUST5651,home-kitchen,Product 17,7,132.8,Bank Transfer,Europe,,929.6
ORD100139,2024-07-26 12:06:11.610782,CUST1820,electronics,Product 8,6,174.08,Gift Card,North America,Pending,1044.48
ORD100140,2024-08-03 12:06:11.610782,CUST1438,home-kitchen,Product 21,6,158.18,Bank Transfer,Asia,Completed,949.08
ORD100141,2024-06-08 12:06:11.610782,CUST4387,Sports & Outdoors,Product 28,3,132.56,PAYPAL,Africa,Cancelled,397.68
ORD100142,2024-03-07 12:06:11.610782,CUST3904,Beauty & Health,Product 7,5,341.05,PAYPAL,Asia,Pending,1705.25
ORD100143,2025-01-19 12:06:11.610782,CUST1487,Sports & Outdoors,Product 19,9,84.51,creditcard,Europe,Pending,760.59
ORD100144,2024-09-21 12:06:11.610782,CUST8235,Beauty & Health,Product 46,2,80.99,,Africa,Pending,161.98
ORD100145,2024-04-25 12:06:11.610782,CUST9249,Sports & Outdoors,,9,382.27,creditcard,Europe,Pending,3440.43
ORD100146,2024-11-11 12:06:11.610782,CUST6791,electronics,Product 10,9,483.06,creditcard,Europe,Pending,4347.54
ORD100147,2024-08-15 12:06:11.610782,CUST7894,home-kitchen,Product 48,9,150.29,Bank Transfer,South America,Completed,1352.61
ORD100148,2024-09-08 12:06:11.610782,CUST1749,Beauty & Health,Product 5,8,25.21,PAYPAL,Europe,Pending,201.68
ORD100149,2024-12-05 12:06:11.610782,CUST5277,Beauty & Health,Product 45,5,49.46,Bank Transfer,Africa,Pending,247.3
ORD100150,2025-01-08 12:06:11.610782,CUST5813,CLOTHING,Product 9,2,155.24,,Africa,Cancelled,310.48
ORD100151,2024-05-19 12:06:11.610782,CUST9703,Sports & Outdoors,Product 47,10,227.15,,Africa,,2271.5
ORD100152,2025-01-28 12:06:11.610782,CUST4283,CLOTHING,Product 20,4,176.94,Gift Card,North America,Pending,707.76
ORD100153,2024-07-11 12:06:11.610782,CUST4688,Sports & Outdoors,Product 24,2,33.52,PAYPAL,,Completed,67.04
ORD100154,2024-08-20 12:06:11.610782,CUST2863,electronics,Product 40,5,90.07,PAYPAL,North America,Pending,450.35
ORD100155,2024-04-26 12:06:11.610782,CUST3098,CLOTHING,Product 2,6,32.6,creditcard,Africa,Cancelled,195.6
ORD100156,2024-03-14 12:06:11.610782,CUST9441,Sports & Outdoors,Product 9,1,197.91,,North America,Cancelled,197.91
ORD100157,2024-05-11 12:06:11.610782,CUST1299,Beauty & Health,Product 42,5,418.53,Gift Card,Asia,Completed,2092.65
ORD100158,2024-11-22 12:06:11.610782,CUST2139,home-kitchen,Product 28,6,47.15,creditcard,Europe,Pending,282.9
ORD100159,2024-12-27 12:06:11.610782,CUST2012,Beauty & Health,Product 27,2,50.29,creditcard,Asia,Completed,100.58
ORD100160,2025-01-11 12:06:11.610782,CUST6896,home-kitchen,Product 27,2,466.5,Gift Card,Asia,Cancelled,933.0
ORD100161,2024-06-24 12:06:11.610782,CUST7215,Beauty & Health,Product 38,5,425.93,Bank Transfer,South America,Completed,2129.65
ORD100162,2025-01-29 12:06:11.610782,CUST3765,home-kitchen,Product 27,3,384.76,Bank Transfer,Asia,Completed,1154.28
ORD100163,2024-09-04 12:06:11.610782,CUST1383,home-kitchen,Product 37,10,429.26,,Africa,Cancelled,4292.6
ORD100164,2024-09-30 12:06:11.610782,CUST9123,Beauty & Health,Product 15,7,102.62,creditcard,South America,Pending,718.34
ORD100165,2024-12-30 12:06:11.610782,CUST7112,home-kitchen,Product 28,4,304.11,creditcard,Europe,Completed,1216.44
ORD100166,2025-01-01 12:06:11.610782,CUST9542,electronics,Product 48,7,427.03,creditcard,North America,Completed,2989.21
ORD100167,2024-05-24 12:06:11.610782,CUST2422,Sports & Outdoors,Product 28,6,242.46,Bank Transfer,South America,Cancelled,1454.76
ORD100168,2024-03-25 12:06:11.610782,CUST5364,,Product 13,8,212.47,creditcard,Europe,Completed,1699.76
ORD100169,2025-02-13 12:06:11.610782,CUST6271,Sports & Outdoors,Product 25,10,188.05,Bank Transfer,South America,Cancelled,1880.5
ORD100170,2024-08-09 12:06:11.610782,CUST6349,CLOTHING,Product 14,5,86.72,PAYPAL,Europe,Cancelled,433.6
ORD100171,2024-10-26 12:06:11.610782,,Sports & Outdoors,Product 39,6,214.7,Bank Transfer,Europe,,1288.2
ORD100172,2024-04-09 12:06:11.610782,CUST1493,,Product 46,9,451.53,Gift Card,North America,Completed,4063.77
ORD100173,2024-07-07 12:06:11.610782,CUST7439,Beauty & Health,Product 20,9,337.51,PAYPAL,North America,Pending,3037.59
ORD100174,2024-06-06 12:06:11.610782,CUST4687,home-kitchen,Product 37,10,289.99,Bank Transfer,Asia,Pending,2899.9
ORD100175,2025-01-13 12:06:11.610782,CUST9738,home-kitchen,Product 29,6,434.13,Gift Card,Africa,Pending,2604.78
ORD100176,2024-12-02 12:06:11.610782,CUST2541,Beauty & Health,Product 49,5,354.22,Gift Card,North America,Pending,1771.1
ORD100177,2024-09-22 12:06:11.610782,CUST8810,CLOTHING,Product 45,5,214.42,Gift Card,,Pending,1072.1
ORD100178,2024-05-31 12:06:11.610782,CUST6097,CLOTHING,Product 29,6,450.41,Bank Transfer,Asia,Pending,2702.46
ORD100179,2024-04-05 12:06:11.610782,CUST5598,electronics,Product 31,6,479.67,Bank Transfer,,Cancelled,2878.02
ORD100180,2024-11-22 12:06:11.610782,CUST6070,Sports & Outdoors,Product 37,5,78.61,PAYPAL,Africa,Pending,393.05
ORD100181,2024-03-19 12:06:11.610782,CUST1228,Sports & Outdoors,Product 47,2,293.15,PAYPAL,Europe,Completed,586.3
ORD100182,2024-06-15 12:06:11.610782,CUST2815,Sports & Outdoors,Product 48,2,217.83,Bank Transfer,South America,,435.66
ORD100183,2024-08-06 12:06:11.610782,CUST6207,electronics,Product 8,4,457.41,PAYPAL,South America,Cancelled,1829.64
ORD100184,2024-08-02 12:06:11.610782,CUST9159,home-kitchen,Product 1,2,214.18,Bank Transfer,Asia,Pending,428.36
ORD100185,2025-02-04 12:06:11.610782,CUST3593,Beauty & Health,Product 49,2,76.15,Gift Card,South America,Completed,152.3
ORD100186,2024-07-30 12:06:11.610782,CUST9873,electronics,Product 27,4,21.84,,North America,Completed,87.36
ORD100187,2024-12-08 12:06:11.610782,CUST9534,CLOTHING,Product 6,10,187.02,creditcard,South America,Pending,1870.2
ORD100188,2024-12-14 12:06:11.610782,CUST1581,electronics,Product 3,9,138.57,Gift Card,North America,Completed,1247.13
ORD100189,2024-04-28 12:06:11.610782,CUST6019,home-kitchen,Product 43,6,292.18,creditcard,South America,Cancelled,1753.08
ORD100190,2025-02-08 12:06:11.610782,CUST9111,Sports & Outdoors,Product 37,10,206.92,creditcard,Europe,Completed,2069.2
ORD100191,2024-08-22 12:06:11.610782,CUST2510,home-kitchen,Product 50,10,395.45,Gift Card,Asia,,3954.5
ORD100192,2024-06-09 12:06:11.610782,,electronics,,1,447.35,creditcard,Europe,Pending,447.35
ORD100193,2024-03-10 12:06:11.610782,CUST9798,Beauty & Health,Product 45,1,179.18,creditcard,,Cancelled,179.18
ORD100194,2024-06-09 12:06:11.610782,CUST3532,,Product 45,5,65.44,Gift Card,Europe,Pending,327.2
ORD100195,2024-10-07 12:06:11.610782,CUST1435,electronics,Product 43,2,201.44,Bank Transfer,North America,Completed,402.88
ORD100196,2025-02-22 12:06:11.610782,CUST9885,Beauty & Health,Product 29,10,321.76,Gift Card,North America,Completed,3217.6
ORD100197,2025-01-20 12:06:11.610782,CUST3974,home-kitchen,Product 34,9,206.83,creditcard,Europe,Completed,1861.47
ORD100198,2024-06-22 12:06:11.610782,CUST6295,Beauty & Health,Product 8,2,390.18,,Europe,Cancelled,780.36
ORD100199,2024-07-05 12:06:11.610782,CUST9525,CLOTHING,Product 17,5,51.24,PAYPAL,Africa,Pending,256.2
ORD100200,2024-12-27 12:06:11.610782,CUST1396,Beauty & Health,Product 38,1,192.64,Gift Card,Europe,Pending,192.64
ORD100201,2024-11-22 12:06:11.610782,CUST4386,home-kitchen,Product 13,1,105.25,Bank Transfer,Asia,Completed,105.25
ORD100202,2024-04-08 12:06:11.610782,CUST6751,,Product 34,8,193.45,creditcard,Asia,Completed,1547.6
ORD100203,2024-11-18 12:06:11.610782,,home-kitchen,Product 45,6,385.55,creditcard,Asia,Cancelled,2313.3
ORD100204,2024-04-09 12:06:11.610782,CUST5465,electronics,Product 1,10,487.89,PAYPAL,Africa,Cancelled,4878.9
ORD100205,2024-11-04 12:06:11.610782,CUST3129,home-kitchen,Product 2,5,232.25,PAYPAL,Africa,Cancelled,1161.25
ORD100206,2024-03-24 12:06:11.610782,CUST5133,home-kitchen,Product 25,10,18.67,Gift Card,,Pending,186.7
ORD100207,2024-09-30 12:06:11.610782,CUST7483,home-kitchen,Product 46,9,303.54,Bank Transfer,South America,Cancelled,2731.86
ORD100208,2024-04-14 12:06:11.610782,CUST1661,Beauty & Health,Product 12,5,218.51,PAYPAL,South America,Pending,1092.55
ORD100209,2024-04-08 12:06:11.610782,CUST1436,Sports & Outdoors,Product 1,9,28.02,Bank Transfer,Europe,Pending,252.18
ORD100210,2025-02-11 12:06:11.610782,CUST8377,home-kitchen,Product 40,2,268.4,Bank Transfer,North America,Completed,536.8
ORD100211,2025-02-05 12:06:11.610782,CUST5253,home-kitchen,Product 47,6,379.06,Bank Transfer,Europe,Pending,2274.36
ORD100212,2025-01-16 12:06:11.610782,CUST4611,CLOTHING,Product 19,9,462.0,Gift Card,Asia,Pending,4158.0
ORD100213,2024-08-07 12:06:11.610782,,Sports & Outdoors,Product 47,10,346.3,Gift Card,Europe,Completed,3463.0
ORD100214,2024-08-02 12:06:11.610782,CUST7950,Beauty & Health,Product 3,6,334.07,Bank Transfer,North America,Completed,2004.42
